business_id,date,likes,text,user_id
cE27W9VPgO88Qxe4ol6y_g,2013-04-18 00:00:00,0,Don't waste your time.,-6rEfobYjMxpUWLNxszaxQ
mVHrayjG3uZ_RLHkLj-AMg,2013-01-06 00:00:00,0,Your GPS will not allow you to find this place. Put Rankin police department in instead. They are directly across the street.,EZ0r9dKKtEGVx2CdnowPCw
KayYbHCt-RkbGcPdGOThNg,2013-12-03 00:00:00,0,Great drink specials!,xb6zEQCw9I-Gl0g06e1KsQ
wJr6kSA5dchdgOdwH6dZ2w,2013-07-22 00:00:00,0,Sarah rocks! Best waitress here! Be sure to get her and compliment her glasses.,fvTivrsJoUMYXnOJw9wZfw
fNGIbpazjTRdXgwRY_NIXA,2013-04-22 00:00:00,0,"Decent selection of more than just bar food. 

Jumbo fish sandwich is aptly named. 

Seem to be generous with the pour.",6GrH6gp09pqYykGv86D6Dg
b9WZJp5L1RZr4F1nxclOoQ,2012-03-17 00:00:00,0,I'm in heaven.,gl46Pxc4OzLai8JVyxUIwA
b9WZJp5L1RZr4F1nxclOoQ,2012-08-27 00:00:00,2,If you haven't come for lunch you are missing out!  Great burgers and fries. Meatloaf and gravy on special (usually every or every other Thursday) and when thy had potato salad I always get it. Great lunch prices!,6GrH6gp09pqYykGv86D6Dg
b9WZJp5L1RZr4F1nxclOoQ,2013-10-17 00:00:00,0,"Wonderful food, generous portions.  What more  can you ask for!",hoThsXW1ndoytxVwc_MVLQ
b9WZJp5L1RZr4F1nxclOoQ,2011-11-09 00:00:00,0,Breakfast with Dad and Gino,AY-W59xCVPDaCaOKJOQUhw
zaXDakTd3RXyOa7sMrUE1g,2014-11-08 00:00:00,0,"Like it all. Gratis staff, stellar breakfast all day.",FyQ9wsYI-17OTSZTnXmNbg
WETE_LykpcnrC1sFcQ5EGg,2010-01-22 00:00:00,0,A quick pint of Guinness,B5VpKiCdRS8OHHjvhdYzMA
SQ0j7bgSTazkVQlF5AnqyQ,2014-08-02 00:00:00,0,"Slow service--annoying, but indicates MTO food.",9OZH1Ecw-qUkCW5MS0NefA
wqu7ILomIOPSduRwoWp4AQ,2011-12-17 00:00:00,0,Grits!,bvu13GyOUwhEjPum2xjiqQ
wqu7ILomIOPSduRwoWp4AQ,2012-05-18 00:00:00,0,Giving this place another try.  Let's see how it goes.,5nIkRQ6Ip_SMCg7zDfBbww
wqu7ILomIOPSduRwoWp4AQ,2012-06-16 00:00:00,0,Trying this place again  already service is better.,5nIkRQ6Ip_SMCg7zDfBbww
wqu7ILomIOPSduRwoWp4AQ,2012-09-06 00:00:00,0,I must say a few months ago I would not have come back here However the service has improved 20 fold. Way to go my family and I now come here often.,5nIkRQ6Ip_SMCg7zDfBbww
wqu7ILomIOPSduRwoWp4AQ,2012-12-08 00:00:00,0,Much improved!!,5nIkRQ6Ip_SMCg7zDfBbww
wqu7ILomIOPSduRwoWp4AQ,2014-04-27 00:00:00,0,"This is the second time we are going there with my husband, and I like their stakes but both times, found hair on my food.",UxfFAw2-cTpeWvRROF1HEw
P1fJb2WQ1mXoiudj8UE44w,2011-03-14 00:00:00,0,Terrible service.  Waiter disappeared for nearly an hour to serve banquet patrons in the rear of the restaurant.,Lbdzh6Qn5S1O5ENrr7n2wA
P1fJb2WQ1mXoiudj8UE44w,2011-07-17 00:00:00,0,Try the baby clams and angel hair with the garlic oil sauce!,UXQzUyOnihbH0K_yCpK1zA
P1fJb2WQ1mXoiudj8UE44w,2011-10-06 00:00:00,0,"Some of the best braccole I ever had, sorry not as good as mom's!",bvu13GyOUwhEjPum2xjiqQ
P1fJb2WQ1mXoiudj8UE44w,2012-01-28 00:00:00,0,Wedding soup!,kgr3sq5YHHDMBboawKZD1w
P1fJb2WQ1mXoiudj8UE44w,2013-03-03 00:00:00,0,"Had our annual girlfriends birthday dinner. For a Sunday Papa J's had a lively crowd. The waitress was very efficient , but not very friendly.  The tilapia milanese was done just right as was shrimp scampi, and everyone else's main course. This is good food, good price and good atmosphere.",8xckX9C5cojQaT32P927iA
P1fJb2WQ1mXoiudj8UE44w,2013-03-04 00:00:00,0,"Food was okay, nothing great. I had fish on flat bread and wedding soup. I wouldn't order either again. Ok if you are in the area though.",-Tjv2E_WAFsdVxjS5hzuyA
P1fJb2WQ1mXoiudj8UE44w,2013-06-23 00:00:00,0,Fresh bread and fried zucchini are really good.,5nIkRQ6Ip_SMCg7zDfBbww
P1fJb2WQ1mXoiudj8UE44w,2013-07-09 00:00:00,0,Great pizza!!!,0LzlRSXLhEsVSWFEvW_5yg
P1fJb2WQ1mXoiudj8UE44w,2013-08-09 00:00:00,0,Happy hour,G72t131aVGgU8ajN6bVINQ
P1fJb2WQ1mXoiudj8UE44w,2014-04-14 00:00:00,0,Food is out standing!!,zNo3jxYBxJpSmHb-AQHgsw
P1fJb2WQ1mXoiudj8UE44w,2014-08-15 00:00:00,0,always have a Wonderful meal at papa js,zxYJNb0759-pHhDBRVr8aA
P1fJb2WQ1mXoiudj8UE44w,2014-08-23 00:00:00,0,They run decent coupon specials. Buy one get one type,6GrH6gp09pqYykGv86D6Dg
